Line in Master,Company,Industry,Code,Metrics,Reported,Quantitative,MonetaryLoss
208.0,CVS Health Corp,MULTILINE AND SPECIALTY RETAILERS & DISTRIBUTORS,CG-MR-230a.2,"(1) Number of data breaches, (2) percentage involving personally identifiable information (PII), (3) number of customers affected",0,1.0,
208.0,CVS Health Corp,MULTILINE AND SPECIALTY RETAILERS & DISTRIBUTORS,CG-MR-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",1,1.0,
208.0,CVS Health Corp,MULTILINE AND SPECIALTY RETAILERS & DISTRIBUTORS,CG-MR-310a.1,"(1) Average hourly wage and (2) percentage of in-store employees earning minimum wage, by region",1,1.0,
208.0,CVS Health Corp,MULTILINE AND SPECIALTY RETAILERS & DISTRIBUTORS,CG-MR-310a.2,(1) Voluntary and (2) involuntary turnover rate for in-store employees,0,1.0,
208.0,CVS Health Corp,MULTILINE AND SPECIALTY RETAILERS & DISTRIBUTORS,CG-MR-310a.3,Total amount of monetary losses as a result of legal proceedings associated with labor law violations,0,1.0,1.0
208.0,CVS Health Corp,MULTILINE AND SPECIALTY RETAILERS & DISTRIBUTORS,CG-MR-410a.1,Revenue from products third-party certified to environmental and/or social sustainability standards,0,1.0,
208.0,CVS Health Corp,MULTILINE AND SPECIALTY RETAILERS & DISTRIBUTORS,CG-MR-410a.2,Discussion of processes to assess and manage risks and/or hazards associated with chemicals in products,1,0.0,
208.0,CVS Health Corp,MULTILINE AND SPECIALTY RETAILERS & DISTRIBUTORS,CG-MR-410a.3,Discussion of strategies to reduce the environmental impact of packaging,1,0.0,
208.0,CVS Health Corp,MULTILINE AND SPECIALTY RETAILERS & DISTRIBUTORS,CG-MR-330a.1,Percentage of gender and racial/ethnic group representation for (1) management and (2) all other employees,1,1.0,
208.0,CVS Health Corp,MULTILINE AND SPECIALTY RETAILERS & DISTRIBUTORS,CG-MR-330a.2,Total amount of monetary losses as a result of legal proceedings associated with employment discrimination,0,1.0,1.0
208.0,CVS Health Corp,INSURANCE,FN-IN-450a.1,Probable Maximum Loss (PML) of insured products from weather-related natural catastrophes,0,1.0,
208.0,CVS Health Corp,INSURANCE,FN-IN-450a.2,"Total amount of monetary losses attributable to insurance payouts from (1) modeled natural catastrophes and (2) non-modeled natural catastrophes, by type of event and geographic segment (net and gross of reinsurance)",0,1.0,1.0
208.0,CVS Health Corp,INSURANCE,FN-IN-450a.3,Description of approach to incorporation of environmental risks into (1) the underwriting process for individual contracts and (2) the management of firm-level risks and capital adequacy,0,0.0,
208.0,CVS Health Corp,INSURANCE,FN-IN-410a.1,"Total invested assets, by industry and asset class",1,1.0,
208.0,CVS Health Corp,INSURANCE,FN-IN-410a.2,"Description of approach to incorporation of environmental, social, and governance (ESG) factors in investment management processes and strategies",0,0.0,
208.0,CVS Health Corp,INSURANCE,FN-IN-410b.1,Net premiums written related to energy efficiency and low carbon technology,0,1.0,
208.0,CVS Health Corp,INSURANCE,FN-IN-410b.2,"Discussion of products and/or product features that incentivize health, safety, and/or environmentally responsible actions and/or behaviors",1,0.0,
208.0,CVS Health Corp,INSURANCE,FN-IN-550a.1,"Exposure to derivative instruments by category: (1) total potential exposure to non-centrally cleared derivatives, (2) total fair value of acceptable collateral posted with the Central Clearinghouse, and (3) total potential exposure to centrally cleared derivatives",0,1.0,
208.0,CVS Health Corp,INSURANCE,FN-IN-550a.2,Total fair value of securities lending collateral assets,0,1.0,
208.0,CVS Health Corp,INSURANCE,FN-IN-550a.3,Description of approach to managing capital- and liquidity-related risks associated with systemic non-insurance activities,1,0.0,
208.0,CVS Health Corp,INSURANCE,FN-IN-270a.1,Total amount of monetary losses as a result of legal proceedings associated with marketing and communication of insurance product-related information to new and returning customers,0,1.0,1.0
208.0,CVS Health Corp,INSURANCE,FN-IN-270a.2,Complaints-to-claims ratio,0,1.0,
208.0,CVS Health Corp,INSURANCE,FN-IN-270a.3,Customer retention rate,1,1.0,
208.0,CVS Health Corp,INSURANCE,FN-IN-270a.4,Description of approach to informing customers about products,0,0.0,
209.0,CyrusOne Inc,REAL ESTATE,IF-RE-450a.1,"Area of properties located in 100-year flood zones, by property subsector",1,1.0,
209.0,CyrusOne Inc,REAL ESTATE,IF-RE-450a.2,"Description of climate change risk exposure analysis, degree of systematic portfolio exposure, and strategies for mitigating risks",1,0.0,
209.0,CyrusOne Inc,REAL ESTATE,IF-RE-130a.1,"Energy consumption data coverage as a percentage of total floor area, by property subsector",0,1.0,
209.0,CyrusOne Inc,REAL ESTATE,IF-RE-130a.2,"(1) Total energy consumed by portfolio area with data coverage, (2) percentage grid electricity, and (3) percentage renewable, by property subsector",1,1.0,
209.0,CyrusOne Inc,REAL ESTATE,IF-RE-130a.3,"Like-for-like percentage change in energy consumption for the portfolio area with data coverage, by property subsector",1,1.0,
209.0,CyrusOne Inc,REAL ESTATE,IF-RE-130a.4,"Percentage of eligible portfolio that (1) has an energy rating and (2) is certified to ENERGY STAR, by property subsector",1,1.0,
209.0,CyrusOne Inc,REAL ESTATE,IF-RE-130a.5,Description of how building energy management considerations are integrated into property investment analysis and operational strategy,1,0.0,
209.0,CyrusOne Inc,REAL ESTATE,IF-RE-410a.1,"(1) Percentage of new leases that contain a cost recovery clause for resource efficiency-related capital improvements and (2) associated leased floor area, by property subsector",0,1.0,
209.0,CyrusOne Inc,REAL ESTATE,IF-RE-410a.2,"Percentage of tenants that are separately metered or submetered for (1) grid electricity consumption and (2) water withdrawals, by property subsector",1,1.0,
209.0,CyrusOne Inc,REAL ESTATE,IF-RE-410a.3,"Discussion of approach to measuring, incentivizing, and improving sustainability impacts of tenants",0,0.0,
209.0,CyrusOne Inc,REAL ESTATE,IF-RE-140a.1,"Water withdrawal data coverage as a percentage of (1) total floor area and (2) floor area in regions with High or Extremely High Baseline Water Stress, by property subsector",1,1.0,
209.0,CyrusOne Inc,REAL ESTATE,IF-RE-140a.2,"(1) Total water withdrawn by portfolio area with data coverage and (2) percentage in regions with High or Extremely High Baseline Water Stress, by property subsector",1,1.0,
209.0,CyrusOne Inc,REAL ESTATE,IF-RE-140a.3,"Like-for-like percentage change in water withdrawn for portfolio area with data coverage, by property subsector",1,1.0,
